customer_id,segment_name,R,F,M,RFM_score,recency_days,frequency_180d,monetary_180d,return_rate_180d,ticket_count_90d,sessions_30d,avg_discount_pct_180d,churn_next_60d
CUST00001,Dormant Customers,2,2,1,5,107,1,362.73,0.0,0,1,0.23,1
CUST00002,Dormant Customers,4,2,2,8,40,1,581.0,0.0,1,8,0.23,0
CUST00003,Discount-Sensitive,1,2,2,5,171,1,649.98,0.0,0,1,0.47,1
CUST00004,Dormant Customers,2,2,4,8,131,1,1604.04,0.0,0,1,0.16,1
CUST00005,Champions,4,5,4,13,38,3,1781.9,0.0,0,18,0.48,0
CUST00006,High-Value but Unhappy,3,5,5,13,51,4,2989.58,0.25,2,2,0.38,0
CUST00007,Dormant Customers,5,2,2,9,3,1,719.33,0.0,0,11,0.18,0
CUST00008,Champions,4,5,5,14,47,3,2449.11,0.0,0,2,0.217,0
CUST00009,Discount-Sensitive,4,2,1,7,31,1,376.85,0.0,0,11,0.49,0
CUST00010,Discount-Sensitive,5,2,2,9,9,1,636.8,0.0,0,13,0.45,0
CUST00011,Dormant Customers,5,2,2,9,1,1,508.08,0.0,0,10,0.14,0
CUST00012,Discount-Sensitive,3,2,3,8,50,1,978.88,0.0,0,3,0.31,1
CUST00013,Loyal Customers,3,5,4,12,61,3,1754.44,0.0,0,4,0.23,0
CUST00014,Loyal Customers,3,4,4,11,51,2,1382.39,0.0,0,11,0.145,0
CUST00015,Champions,4,4,4,12,35,2,1523.14,0.0,0,6,0.285,0
CUST00016,Dormant Customers,1,1,1,3,215,0,0.0,0.0,0,2,0.0,1
CUST00017,Dormant Customers,1,1,1,3,286,0,0.0,0.0,0,4,0.0,1
CUST00018,Discount-Sensitive,2,2,1,5,111,1,329.21,0.0,0,3,0.36,1
CUST00019,Champions,5,4,4,13,9,2,1598.93,0.0,0,5,0.105,0
CUST00020,Dormant Customers,1,1,1,3,368,0,0.0,0.0,0,0,0.0,1
CUST00021,Loyal Customers,3,4,3,10,77,2,1059.3,0.0,1,3,0.435,1
CUST00022,Discount-Sensitive,4,2,2,8,29,1,454.06,0.0,0,10,0.31,0
CUST00023,Dormant Customers,4,2,1,7,21,1,400.98,0.0,0,3,0.25,0
CUST00024,Discount-Sensitive,5,2,2,9,4,1,481.35,0.0,0,13,0.34,0
CUST00025,Discount-Sensitive,1,2,2,5,165,1,517.97,0.0,0,11,0.38,1
CUST00026,Loyal Customers,3,5,5,13,72,3,3561.39,0.333,1,14,0.163,0
CUST00027,Discount-Sensitive,3,2,5,10,70,1,2128.34,1.0,1,11,0.3,0
CUST00028,Dormant Customers,3,2,2,7,83,1,641.83,0.0,0,1,0.11,0
CUST00029,Champions,5,5,4,14,18,3,1382.04,0.0,0,1,0.2,0
CUST00030,High-Value but Unhappy,5,5,5,15,5,5,2819.98,0.0,2,11,0.362,0
CUST00031,Dormant Customers,3,2,2,7,49,1,672.95,0.0,0,6,0.24,1
CUST00032,Discount-Sensitive,4,2,2,8,33,1,694.18,0.0,0,12,0.32,0
CUST00033,Champions,5,5,4,14,12,3,1877.69,0.333,1,7,0.403,0
CUST00034,Loyal Customers,3,4,4,11,50,2,1460.21,0.0,1,7,0.185,0
CUST00035,Dormant Customers,2,2,3,7,127,1,779.74,0.0,0,6,0.12,1
CUST00036,Champions,4,5,4,13,27,4,1737.33,0.25,1,0,0.365,1
